OperationID,Component name,CorrectDetectedFacesMetric,Detected Faces,ImageFormatMetric,ImageNumberOfFacesMetric,ImageNumberOfPixelsMetric,ImageSizeMetric,Input name,Response time (in SECONDS)
22,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,168300,20486,/storage/sdcard0/FDDB-folds-01/2002_09_02_big_img_15752.jpg,1.039249198
23,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,3,119700,22616,/storage/sdcard0/FDDB-folds-01/2002_09_01_big_img_16378.jpg,1.806348237
24,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,166950,14971,/storage/sdcard0/FDDB-folds-01/2002_09_01_big_img_16189.jpg,1.199786359
25,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,162450,21718,/storage/sdcard0/FDDB-folds-01/2002_08_26_big_img_276.jpg,0.922875019
26,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,178200,37081,/storage/sdcard0/FDDB-folds-01/2002_07_24_big_img_518.jpg,1.756111704
27,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,153450,16315,/storage/sdcard0/FDDB-folds-01/2002_08_14_big_img_1027.jpg,1.85151839
28,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,153000,21465,/storage/sdcard0/FDDB-folds-01/2002_08_24_big_img_733.jpg,1.029696322
29,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,158400,19931,/storage/sdcard0/FDDB-folds-01/2002_08_15_big_img_249.jpg,1.08356478
30,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,133250,17754,/storage/sdcard0/FDDB-folds-01/2003_01_15_big_img_1371.jpg,0.939264459
31,GMS Face API with allLandmarks allClassifications accurateMode,1,2,jpg,3,147600,22200,/storage/sdcard0/FDDB-folds-01/2002_08_07_big_img_1348.jpg,1.238028384
32,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,184500,15659,/storage/sdcard0/FDDB-folds-01/2003_01_01_big_img_331.jpg,1.565054174
33,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,139050,20874,/storage/sdcard0/FDDB-folds-01/2002_08_23_big_img_536.jpg,0.90086983
34,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,172350,26933,/storage/sdcard0/FDDB-folds-01/2002_07_30_big_img_224.jpg,1.361880055
35,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,138150,18107,/storage/sdcard0/FDDB-folds-01/2002_08_10_big_img_763.jpg,0.910392187
36,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,151200,26533,/storage/sdcard0/FDDB-folds-01/2002_08_21_big_img_293.jpg,0.737280635
37,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,145350,12739,/storage/sdcard0/FDDB-folds-01/2002_08_15_big_img_1211.jpg,1.108866167
38,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,2,154350,25565,/storage/sdcard0/FDDB-folds-01/2002_08_15_big_img_1194.jpg,1.208820388
39,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,126381,17788,/storage/sdcard0/FDDB-folds-01/2003_01_15_big_img_390.jpg,1.05261712
40,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,166050,22491,/storage/sdcard0/FDDB-folds-01/2002_08_06_big_img_2893.jpg,1.154188924
41,GMS Face API with allLandmarks allClassifications accurateMode,3,3,jpg,7,153109,18402,/storage/sdcard0/FDDB-folds-01/2002_08_17_big_img_691.jpg,2.073004729
42,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,143100,15043,/storage/sdcard0/FDDB-folds-01/2002_08_07_big_img_1695.jpg,1.054631466
43,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,133200,17555,/storage/sdcard0/FDDB-folds-01/2002_08_16_big_img_829.jpg,0.940759957
44,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,144000,12588,/storage/sdcard0/FDDB-folds-01/2002_07_25_big_img_201.jpg,1.338226767
45,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,159844,20870,/storage/sdcard0/FDDB-folds-01/2002_08_23_big_img_36.jpg,1.705905692
46,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,148010,24718,/storage/sdcard0/FDDB-folds-01/2003_01_15_big_img_763.jpg,0.84013429
47,GMS Face API with allLandmarks allClassifications accurateMode,1,2,jpg,1,138170,20712,/storage/sdcard0/FDDB-folds-01/2003_01_15_big_img_637.jpg,1.483015411
48,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,134100,24746,/storage/sdcard0/FDDB-folds-01/2002_08_22_big_img_592.jpg,0.912467573
49,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,2,172350,22221,/storage/sdcard0/FDDB-folds-01/2002_07_25_big_img_817.jpg,1.304227071
50,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,124230,18192,/storage/sdcard0/FDDB-folds-01/2003_01_15_big_img_1219.jpg,0.950404396
51,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,134251,23910,/storage/sdcard0/FDDB-folds-01/2002_08_05_big_img_3508.jpg,0.902548452
52,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,135000,17618,/storage/sdcard0/FDDB-folds-01/2002_08_15_big_img_1108.jpg,0.516618342
53,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,169650,29201,/storage/sdcard0/FDDB-folds-01/2002_07_19_big_img_488.jpg,1.128155044
54,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,111657,16139,/storage/sdcard0/FDDB-folds-01/2003_01_16_big_img_704.jpg,1.080207538
55,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,148420,16660,/storage/sdcard0/FDDB-folds-01/2003_01_13_big_img_1087.jpg,1.012818556
56,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,177750,19383,/storage/sdcard0/FDDB-folds-01/2002_08_10_big_img_670.jpg,0.937677399
57,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,132300,20930,/storage/sdcard0/FDDB-folds-01/2002_07_24_big_img_104.jpg,0.611200976
58,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,166050,17934,/storage/sdcard0/FDDB-folds-01/2002_08_27_big_img_19823.jpg,1.012726996
59,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,176850,28176,/storage/sdcard0/FDDB-folds-01/2002_09_01_big_img_16229.jpg,1.553547992
60,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,110021,20389,/storage/sdcard0/FDDB-folds-01/2003_01_13_big_img_846.jpg,0.743415229
61,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,198000,35992,/storage/sdcard0/FDDB-folds-01/2002_08_04_big_img_412.jpg,1.09845872
62,GMS Face API with allLandmarks allClassifications accurateMode,6,6,jpg,7,138600,25352,/storage/sdcard0/FDDB-folds-01/2002_07_22_big_img_554.jpg,3.241080421
63,GMS Face API with allLandmarks allClassifications accurateMode,4,4,jpg,4,150750,24982,/storage/sdcard0/FDDB-folds-01/2002_08_12_big_img_331.jpg,2.482282922
64,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,138600,25305,/storage/sdcard0/FDDB-folds-01/2002_08_02_big_img_533.jpg,0.712437053
65,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,190800,29213,/storage/sdcard0/FDDB-folds-01/2002_08_12_big_img_259.jpg,1.088386998
66,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,2,162450,34174,/storage/sdcard0/FDDB-folds-01/2002_08_18_big_img_328.jpg,1.45084694
67,GMS Face API with allLandmarks allClassifications accurateMode,4,4,jpg,6,127100,22770,/storage/sdcard0/FDDB-folds-01/2003_01_14_big_img_630.jpg,1.638364109
68,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,3,153450,23350,/storage/sdcard0/FDDB-folds-01/2002_08_05_big_img_3541.jpg,0.987822371
69,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,160650,15248,/storage/sdcard0/FDDB-folds-01/2002_08_06_big_img_2390.jpg,1.317625516
70,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,2,138150,23345,/storage/sdcard0/FDDB-folds-01/2002_08_20_big_img_150.jpg,1.08597589
71,GMS Face API with allLandmarks allClassifications accurateMode,3,4,jpg,5,152550,25200,/storage/sdcard0/FDDB-folds-01/2002_08_02_big_img_1231.jpg,1.655943842
72,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,162450,42852,/storage/sdcard0/FDDB-folds-01/2002_08_16_big_img_710.jpg,1.415199145
73,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,144000,14803,/storage/sdcard0/FDDB-folds-01/2002_08_19_big_img_591.jpg,0.915824813
74,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,156252,16845,/storage/sdcard0/FDDB-folds-01/2002_07_22_big_img_725.jpg,1.033053563
75,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,129600,16990,/storage/sdcard0/FDDB-folds-01/2002_07_24_big_img_820.jpg,0.800122081
76,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,129970,18350,/storage/sdcard0/FDDB-folds-01/2003_01_13_big_img_568.jpg,1.475476881
77,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,3,153450,17742,/storage/sdcard0/FDDB-folds-01/2002_08_22_big_img_853.jpg,1.223409126
78,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,151650,11781,/storage/sdcard0/FDDB-folds-01/2002_08_09_big_img_648.jpg,0.685640164
79,GMS Face API with allLandmarks allClassifications accurateMode,3,3,jpg,7,134251,29054,/storage/sdcard0/FDDB-folds-01/2002_08_23_big_img_528.jpg,1.718480086
80,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,166950,13372,/storage/sdcard0/FDDB-folds-01/2003_01_14_big_img_888.jpg,0.567953609
81,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,160200,16932,/storage/sdcard0/FDDB-folds-01/2002_08_30_big_img_18201.jpg,1.288966883
82,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,184050,17279,/storage/sdcard0/FDDB-folds-01/2002_08_13_big_img_965.jpg,1.54683351
83,GMS Face API with allLandmarks allClassifications accurateMode,3,3,jpg,5,121770,23452,/storage/sdcard0/FDDB-folds-01/2003_01_14_big_img_660.jpg,1.526140699
84,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,136496,19984,/storage/sdcard0/FDDB-folds-01/2002_07_19_big_img_517.jpg,0.66311613
85,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,140850,11309,/storage/sdcard0/FDDB-folds-01/2003_01_14_big_img_406.jpg,0.940729435
86,GMS Face API with allLandmarks allClassifications accurateMode,1,2,jpg,2,159750,23009,/storage/sdcard0/FDDB-folds-01/2002_08_30_big_img_18433.jpg,1.036105602
87,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,135450,18749,/storage/sdcard0/FDDB-folds-01/2002_08_07_big_img_1630.jpg,1.021669463
88,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,128700,13587,/storage/sdcard0/FDDB-folds-01/2002_08_06_big_img_2717.jpg,0.625576072
89,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,146374,22752,/storage/sdcard0/FDDB-folds-01/2002_08_21_big_img_470.jpg,1.325621854
90,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,124373,20257,/storage/sdcard0/FDDB-folds-01/2002_07_23_big_img_633.jpg,0.988829543
91,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,133650,10434,/storage/sdcard0/FDDB-folds-01/2002_08_20_big_img_915.jpg,0.819044712
92,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,134251,23638,/storage/sdcard0/FDDB-folds-01/2002_08_16_big_img_893.jpg,1.200518846
93,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,136945,20658,/storage/sdcard0/FDDB-folds-01/2002_07_29_big_img_644.jpg,0.634732184
94,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,140537,24215,/storage/sdcard0/FDDB-folds-01/2002_08_15_big_img_529.jpg,1.08939417
95,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,165150,19452,/storage/sdcard0/FDDB-folds-01/2002_08_16_big_img_668.jpg,0.753914239
96,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,157500,20811,/storage/sdcard0/FDDB-folds-01/2002_08_07_big_img_1871.jpg,1.572287502
97,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,154350,14459,/storage/sdcard0/FDDB-folds-01/2002_07_25_big_img_192.jpg,0.768716618
98,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,125550,14570,/storage/sdcard0/FDDB-folds-01/2002_07_31_big_img_961.jpg,0.822646116
99,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,4,176400,31606,/storage/sdcard0/FDDB-folds-01/2002_08_19_big_img_738.jpg,1.164840532
100,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,162900,19631,/storage/sdcard0/FDDB-folds-01/2002_07_31_big_img_382.jpg,0.780863725
101,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,167850,16812,/storage/sdcard0/FDDB-folds-01/2002_08_19_big_img_298.jpg,0.861284908
102,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,126280,23646,/storage/sdcard0/FDDB-folds-01/2003_01_17_big_img_608.jpg,0.789928277
103,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,139950,19281,/storage/sdcard0/FDDB-folds-01/2002_08_21_big_img_514.jpg,0.961635893
104,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,161100,33602,/storage/sdcard0/FDDB-folds-01/2002_07_23_big_img_183.jpg,1.031863267
105,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,126381,21779,/storage/sdcard0/FDDB-folds-01/2003_01_17_big_img_536.jpg,0.89174424
106,GMS Face API with allLandmarks allClassifications accurateMode,3,3,jpg,3,185400,24807,/storage/sdcard0/FDDB-folds-01/2002_07_24_big_img_478.jpg,1.235189989
107,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,120600,11317,/storage/sdcard0/FDDB-folds-01/2002_08_06_big_img_2997.jpg,0.507248588
108,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,156600,16335,/storage/sdcard0/FDDB-folds-01/2002_09_02_big_img_15380.jpg,0.82035709
109,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,162000,20413,/storage/sdcard0/FDDB-folds-01/2002_08_07_big_img_1153.jpg,0.730566152
110,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,183600,15491,/storage/sdcard0/FDDB-folds-01/2002_07_31_big_img_967.jpg,1.383396917
111,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,123924,17101,/storage/sdcard0/FDDB-folds-01/2002_07_31_big_img_711.jpg,0.907614832
112,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,147600,14082,/storage/sdcard0/FDDB-folds-01/2002_08_26_big_img_664.jpg,0.746131543
113,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,148420,19663,/storage/sdcard0/FDDB-folds-01/2003_01_01_big_img_326.jpg,0.962185258
114,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,155250,22776,/storage/sdcard0/FDDB-folds-01/2002_08_24_big_img_775.jpg,0.889333128
115,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,147150,12050,/storage/sdcard0/FDDB-folds-01/2002_08_08_big_img_961.jpg,0.81309324
116,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,130500,16894,/storage/sdcard0/FDDB-folds-01/2002_08_16_big_img_77.jpg,0.860308257
117,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,3,149400,15118,/storage/sdcard0/FDDB-folds-01/2002_08_12_big_img_296.jpg,1.494033267
118,GMS Face API with allLandmarks allClassifications accurateMode,4,4,jpg,4,139950,23539,/storage/sdcard0/FDDB-folds-01/2002_07_22_big_img_905.jpg,1.885884328
119,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,3,179550,17478,/storage/sdcard0/FDDB-folds-01/2003_01_13_big_img_284.jpg,0.972501144
120,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,113850,17906,/storage/sdcard0/FDDB-folds-01/2002_08_13_big_img_887.jpg,0.46558828
121,GMS Face API with allLandmarks allClassifications accurateMode,3,3,jpg,3,135900,26355,/storage/sdcard0/FDDB-folds-01/2002_08_24_big_img_849.jpg,2.362093697
122,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,127516,14193,/storage/sdcard0/FDDB-folds-01/2002_07_30_big_img_345.jpg,0.691561116
123,GMS Face API with allLandmarks allClassifications accurateMode,3,3,jpg,3,144450,23059,/storage/sdcard0/FDDB-folds-01/2002_08_18_big_img_419.jpg,2.338226766
124,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,161100,22634,/storage/sdcard0/FDDB-folds-01/2002_08_01_big_img_1347.jpg,0.863482375
125,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,168300,20517,/storage/sdcard0/FDDB-folds-01/2002_08_05_big_img_3670.jpg,0.976377231
126,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,148500,15872,/storage/sdcard0/FDDB-folds-01/2002_07_21_big_img_479.jpg,0.752205098
127,GMS Face API with allLandmarks allClassifications accurateMode,3,3,jpg,3,116100,20378,/storage/sdcard0/FDDB-folds-01/2002_08_08_big_img_913.jpg,1.630672973
128,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,138150,22632,/storage/sdcard0/FDDB-folds-01/2002_09_02_big_img_15828.jpg,0.891866321
129,GMS Face API with allLandmarks allClassifications accurateMode,0,0,jpg,1,148950,15102,/storage/sdcard0/FDDB-folds-01/2002_08_30_big_img_18194.jpg,0.760750802
130,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,134251,14687,/storage/sdcard0/FDDB-folds-01/2002_08_08_big_img_471.jpg,0.972592705
131,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,4,151650,20052,/storage/sdcard0/FDDB-folds-01/2002_08_22_big_img_734.jpg,0.962948269
132,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,161550,8788,/storage/sdcard0/FDDB-folds-01/2002_08_09_big_img_586.jpg,0.911399358
133,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,149850,21613,/storage/sdcard0/FDDB-folds-01/2002_08_09_big_img_454.jpg,0.785045018
134,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,133353,25798,/storage/sdcard0/FDDB-folds-01/2002_07_29_big_img_47.jpg,0.50907981
135,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,166130,23749,/storage/sdcard0/FDDB-folds-01/2002_07_19_big_img_381.jpg,1.044315579
136,GMS Face API with allLandmarks allClassifications accurateMode,3,3,jpg,5,160650,31476,/storage/sdcard0/FDDB-folds-01/2002_07_29_big_img_733.jpg,1.639188158
137,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,136496,24815,/storage/sdcard0/FDDB-folds-01/2002_08_20_big_img_327.jpg,0.963528155
138,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,134251,16075,/storage/sdcard0/FDDB-folds-01/2002_07_21_big_img_96.jpg,0.659972531
139,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,153450,16130,/storage/sdcard0/FDDB-folds-01/2002_08_06_big_img_2680.jpg,0.78928735
140,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,140850,10752,/storage/sdcard0/FDDB-folds-01/2002_07_25_big_img_919.jpg,1.070044255
141,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,155700,21317,/storage/sdcard0/FDDB-folds-01/2002_07_21_big_img_158.jpg,1.189043186
142,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,136800,14694,/storage/sdcard0/FDDB-folds-01/2002_07_22_big_img_801.jpg,0.921440561
143,GMS Face API with allLandmarks allClassifications accurateMode,3,3,jpg,3,172350,17436,/storage/sdcard0/FDDB-folds-01/2002_07_22_big_img_567.jpg,2.105997253
144,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,168750,15944,/storage/sdcard0/FDDB-folds-01/2002_07_24_big_img_804.jpg,0.801220815
145,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,155250,21027,/storage/sdcard0/FDDB-folds-01/2002_07_24_big_img_690.jpg,1.759194262
146,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,126690,16926,/storage/sdcard0/FDDB-folds-01/2003_01_15_big_img_576.jpg,0.843705173
147,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,202500,20667,/storage/sdcard0/FDDB-folds-01/2002_08_14_big_img_335.jpg,0.990141919
148,GMS Face API with allLandmarks allClassifications accurateMode,4,4,jpg,6,120130,19630,/storage/sdcard0/FDDB-folds-01/2003_01_13_big_img_390.jpg,1.779764993
149,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,6,201600,30858,/storage/sdcard0/FDDB-folds-01/2002_08_11_big_img_258.jpg,1.14509385
150,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,161550,21005,/storage/sdcard0/FDDB-folds-01/2002_07_23_big_img_917.jpg,0.712009766
151,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,163800,26054,/storage/sdcard0/FDDB-folds-01/2002_08_15_big_img_525.jpg,1.267541582
152,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,127100,15043,/storage/sdcard0/FDDB-folds-01/2003_01_15_big_img_505.jpg,0.583152755
153,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,144000,14309,/storage/sdcard0/FDDB-folds-01/2002_07_30_big_img_886.jpg,0.760720281
154,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,110290,14121,/storage/sdcard0/FDDB-folds-01/2003_01_16_big_img_640.jpg,0.76386388
155,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,102250,14241,/storage/sdcard0/FDDB-folds-01/2003_01_14_big_img_642.jpg,0.879414008
156,GMS Face API with allLandmarks allClassifications accurateMode,2,2,jpg,2,170550,21406,/storage/sdcard0/FDDB-folds-01/2003_01_17_big_img_844.jpg,1.143476272
157,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,195750,17680,/storage/sdcard0/FDDB-folds-01/2002_08_04_big_img_571.jpg,0.950495954
158,GMS Face API with allLandmarks allClassifications accurateMode,2,3,jpg,2,178200,19501,/storage/sdcard0/FDDB-folds-01/2002_08_29_big_img_18702.jpg,1.637234855
159,GMS Face API with allLandmarks allClassifications accurateMode,1,1,jpg,1,162900,16263,/storage/sdcard0/FDDB-folds-01/2003_01_15_big_img_240.jpg,1.128216084
160,GMS Face API with allLandmarks allClassifications accurateMode,3,3,jpg,3,141300,29622,/storage/sdcard0/FDDB-folds-01/2002_07_29_big_img_553.jpg,1.77549214
