OperationID,Component name,CorrectDetectedFacesMetric,Detected Faces,ImageFormatMetric,ImageNumberOfFacesMetric,ImageNumberOfPixelsMetric,ImageSizeMetric,Input name,Response time (in SECONDS),DetectionRatio
19,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,2,164700,15907,/storage/emulated/0/FDDB-folds-01/2002_07_25_big_img_1047.jpg,0.281419041,0.5
20,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,167850,24348,/storage/emulated/0/FDDB-folds-01/2002_07_23_big_img_474.jpg,0.586763084,1
21,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,132750,21156,/storage/emulated/0/FDDB-folds-01/2002_07_27_big_img_970.jpg,0.437720709,1
22,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,168300,20486,/storage/emulated/0/FDDB-folds-01/2002_09_02_big_img_15752.jpg,0.343886792,1
23,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,3,119700,22616,/storage/emulated/0/FDDB-folds-01/2002_09_01_big_img_16378.jpg,0.497582836,0.666666667
24,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,166950,14971,/storage/emulated/0/FDDB-folds-01/2002_09_01_big_img_16189.jpg,0.404661375,1
25,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,162450,21718,/storage/emulated/0/FDDB-folds-01/2002_08_26_big_img_276.jpg,0.358621417,1
26,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,178200,37081,/storage/emulated/0/FDDB-folds-01/2002_07_24_big_img_518.jpg,0.577234375,1
27,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,153450,16315,/storage/emulated/0/FDDB-folds-01/2002_08_14_big_img_1027.jpg,0.496391625,1
28,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,153000,21465,/storage/emulated/0/FDDB-folds-01/2002_08_24_big_img_733.jpg,0.341779167,1
29,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,158400,19931,/storage/emulated/0/FDDB-folds-01/2002_08_15_big_img_249.jpg,0.375013084,1
30,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,133250,17754,/storage/emulated/0/FDDB-folds-01/2003_01_15_big_img_1371.jpg,0.357599042,1
31,GMS Face API with allLandmarks  allClassifications accurateMode,1,2,jpg,3,147600,22200,/storage/emulated/0/FDDB-folds-01/2002_08_07_big_img_1348.jpg,0.439745583,0.333333333
32,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,184500,15659,/storage/emulated/0/FDDB-folds-01/2003_01_01_big_img_331.jpg,0.444364501,1
33,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,139050,20874,/storage/emulated/0/FDDB-folds-01/2002_08_23_big_img_536.jpg,0.356758917,1
34,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,172350,26933,/storage/emulated/0/FDDB-folds-01/2002_07_30_big_img_224.jpg,0.40262625,1
35,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,138150,18107,/storage/emulated/0/FDDB-folds-01/2002_08_10_big_img_763.jpg,0.35552775,1
36,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,151200,26533,/storage/emulated/0/FDDB-folds-01/2002_08_21_big_img_293.jpg,0.271280167,1
37,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,145350,12739,/storage/emulated/0/FDDB-folds-01/2002_08_15_big_img_1211.jpg,0.370872833,1
38,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,2,154350,25565,/storage/emulated/0/FDDB-folds-01/2002_08_15_big_img_1194.jpg,0.348641417,0.5
39,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,126381,17788,/storage/emulated/0/FDDB-folds-01/2003_01_15_big_img_390.jpg,0.366870708,1
40,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,166050,22491,/storage/emulated/0/FDDB-folds-01/2002_08_06_big_img_2893.jpg,0.388263042,1
41,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,7,153109,18402,/storage/emulated/0/FDDB-folds-01/2002_08_17_big_img_691.jpg,0.666967125,0.428571429
42,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,143100,15043,/storage/emulated/0/FDDB-folds-01/2002_08_07_big_img_1695.jpg,0.288063084,1
43,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,133200,17555,/storage/emulated/0/FDDB-folds-01/2002_08_16_big_img_829.jpg,0.288285836,1
44,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,144000,12588,/storage/emulated/0/FDDB-folds-01/2002_07_25_big_img_201.jpg,0.436526667,1
45,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,159844,20870,/storage/emulated/0/FDDB-folds-01/2002_08_23_big_img_36.jpg,0.485452917,1
46,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,148010,24718,/storage/emulated/0/FDDB-folds-01/2003_01_15_big_img_763.jpg,0.346343083,1
47,GMS Face API with allLandmarks  allClassifications accurateMode,1,2,jpg,1,138170,20712,/storage/emulated/0/FDDB-folds-01/2003_01_15_big_img_637.jpg,0.393457749,1
48,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,134100,24746,/storage/emulated/0/FDDB-folds-01/2002_08_22_big_img_592.jpg,0.367286,1
49,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,2,172350,22221,/storage/emulated/0/FDDB-folds-01/2002_07_25_big_img_817.jpg,0.469862416,0.5
50,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,124230,18192,/storage/emulated/0/FDDB-folds-01/2003_01_15_big_img_1219.jpg,0.34327,1
51,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,134251,23910,/storage/emulated/0/FDDB-folds-01/2002_08_05_big_img_3508.jpg,0.402926375,1
52,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,135000,17618,/storage/emulated/0/FDDB-folds-01/2002_08_15_big_img_1108.jpg,0.316373917,1
53,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,169650,29201,/storage/emulated/0/FDDB-folds-01/2002_07_19_big_img_488.jpg,0.439853958,1
54,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,111657,16139,/storage/emulated/0/FDDB-folds-01/2003_01_16_big_img_704.jpg,0.357063668,1
55,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,148420,16660,/storage/emulated/0/FDDB-folds-01/2003_01_13_big_img_1087.jpg,0.39458275,1
56,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,177750,19383,/storage/emulated/0/FDDB-folds-01/2002_08_10_big_img_670.jpg,0.37113525,1
57,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,132300,20930,/storage/emulated/0/FDDB-folds-01/2002_07_24_big_img_104.jpg,0.262611667,1
58,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,166050,17934,/storage/emulated/0/FDDB-folds-01/2002_08_27_big_img_19823.jpg,0.336413376,1
59,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,176850,28176,/storage/emulated/0/FDDB-folds-01/2002_09_01_big_img_16229.jpg,0.4929705,1
60,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,110021,20389,/storage/emulated/0/FDDB-folds-01/2003_01_13_big_img_846.jpg,0.276384791,1
61,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,198000,35992,/storage/emulated/0/FDDB-folds-01/2002_08_04_big_img_412.jpg,0.404212666,1
62,GMS Face API with allLandmarks  allClassifications accurateMode,6,6,jpg,7,138600,25352,/storage/emulated/0/FDDB-folds-01/2002_07_22_big_img_554.jpg,0.957086791,0.857142857
63,GMS Face API with allLandmarks  allClassifications accurateMode,4,4,jpg,4,150750,24982,/storage/emulated/0/FDDB-folds-01/2002_08_12_big_img_331.jpg,0.670285252,1
64,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,138600,25305,/storage/emulated/0/FDDB-folds-01/2002_08_02_big_img_533.jpg,0.341478126,1
65,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,190800,29213,/storage/emulated/0/FDDB-folds-01/2002_08_12_big_img_259.jpg,0.380546458,1
66,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,2,162450,34174,/storage/emulated/0/FDDB-folds-01/2002_08_18_big_img_328.jpg,0.446247625,0.5
67,GMS Face API with allLandmarks  allClassifications accurateMode,4,4,jpg,6,127100,22770,/storage/emulated/0/FDDB-folds-01/2003_01_14_big_img_630.jpg,0.510133833,0.666666667
68,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,3,153450,23350,/storage/emulated/0/FDDB-folds-01/2002_08_05_big_img_3541.jpg,0.350355167,0.666666667
69,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,160650,15248,/storage/emulated/0/FDDB-folds-01/2002_08_06_big_img_2390.jpg,0.41201275,1
70,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,2,138150,23345,/storage/emulated/0/FDDB-folds-01/2002_08_20_big_img_150.jpg,0.404307625,0.5
71,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,5,152550,25200,/storage/emulated/0/FDDB-folds-01/2002_08_02_big_img_1231.jpg,0.457553125,0.6
72,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,162450,42852,/storage/emulated/0/FDDB-folds-01/2002_08_16_big_img_710.jpg,0.451053168,1
73,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,144000,14803,/storage/emulated/0/FDDB-folds-01/2002_08_19_big_img_591.jpg,0.296569708,1
74,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,156252,16845,/storage/emulated/0/FDDB-folds-01/2002_07_22_big_img_725.jpg,0.4712095,1
75,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,129600,16990,/storage/emulated/0/FDDB-folds-01/2002_07_24_big_img_820.jpg,0.269212792,1
76,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,129970,18350,/storage/emulated/0/FDDB-folds-01/2003_01_13_big_img_568.jpg,0.493297959,1
77,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,3,153450,17742,/storage/emulated/0/FDDB-folds-01/2002_08_22_big_img_853.jpg,0.439896375,0.666666667
78,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,151650,11781,/storage/emulated/0/FDDB-folds-01/2002_08_09_big_img_648.jpg,0.296486208,1
79,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,7,134251,29054,/storage/emulated/0/FDDB-folds-01/2002_08_23_big_img_528.jpg,0.590488375,0.428571429
80,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,166950,13372,/storage/emulated/0/FDDB-folds-01/2003_01_14_big_img_888.jpg,0.330038708,1
81,GMS Face API with allLandmarks  allClassifications accurateMode,1,2,jpg,2,160200,16932,/storage/emulated/0/FDDB-folds-01/2002_08_30_big_img_18201.jpg,0.43600825,0.5
82,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,184050,17279,/storage/emulated/0/FDDB-folds-01/2002_08_13_big_img_965.jpg,0.483328585,1
83,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,5,121770,23452,/storage/emulated/0/FDDB-folds-01/2003_01_14_big_img_660.jpg,0.450683583,0.6
84,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,136496,19984,/storage/emulated/0/FDDB-folds-01/2002_07_19_big_img_517.jpg,0.314702709,1
85,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,140850,11309,/storage/emulated/0/FDDB-folds-01/2003_01_14_big_img_406.jpg,0.327440542,1
86,GMS Face API with allLandmarks  allClassifications accurateMode,1,2,jpg,2,159750,23009,/storage/emulated/0/FDDB-folds-01/2002_08_30_big_img_18433.jpg,0.353074541,0.5
87,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,135450,18749,/storage/emulated/0/FDDB-folds-01/2002_08_07_big_img_1630.jpg,0.386957167,1
88,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,128700,13587,/storage/emulated/0/FDDB-folds-01/2002_08_06_big_img_2717.jpg,0.256669125,1
89,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,146374,22752,/storage/emulated/0/FDDB-folds-01/2002_08_21_big_img_470.jpg,0.49652725,1
90,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,124373,20257,/storage/emulated/0/FDDB-folds-01/2002_07_23_big_img_633.jpg,0.35093025,1
91,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,133650,10434,/storage/emulated/0/FDDB-folds-01/2002_08_20_big_img_915.jpg,0.34217925,1
92,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,134251,23638,/storage/emulated/0/FDDB-folds-01/2002_08_16_big_img_893.jpg,0.392254,1
93,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,136945,20658,/storage/emulated/0/FDDB-folds-01/2002_07_29_big_img_644.jpg,0.3004525,1
94,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,140537,24215,/storage/emulated/0/FDDB-folds-01/2002_08_15_big_img_529.jpg,0.435502919,1
95,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,165150,19452,/storage/emulated/0/FDDB-folds-01/2002_08_16_big_img_668.jpg,0.308074708,1
96,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,157500,20811,/storage/emulated/0/FDDB-folds-01/2002_08_07_big_img_1871.jpg,0.513627834,1
97,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,154350,14459,/storage/emulated/0/FDDB-folds-01/2002_07_25_big_img_192.jpg,0.296426208,1
98,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,125550,14570,/storage/emulated/0/FDDB-folds-01/2002_07_31_big_img_961.jpg,0.31836125,1
99,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,4,176400,31606,/storage/emulated/0/FDDB-folds-01/2002_08_19_big_img_738.jpg,0.440367708,0.5
100,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,162900,19631,/storage/emulated/0/FDDB-folds-01/2002_07_31_big_img_382.jpg,0.380172542,1
101,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,167850,16812,/storage/emulated/0/FDDB-folds-01/2002_08_19_big_img_298.jpg,0.3152555,1
102,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,126280,23646,/storage/emulated/0/FDDB-folds-01/2003_01_17_big_img_608.jpg,0.350680375,1
103,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,139950,19281,/storage/emulated/0/FDDB-folds-01/2002_08_21_big_img_514.jpg,0.319110041,1
104,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,161100,33602,/storage/emulated/0/FDDB-folds-01/2002_07_23_big_img_183.jpg,0.40075475,1
105,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,126381,21779,/storage/emulated/0/FDDB-folds-01/2003_01_17_big_img_536.jpg,0.280429002,1
106,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,3,185400,24807,/storage/emulated/0/FDDB-folds-01/2002_07_24_big_img_478.jpg,0.477376291,1
107,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,120600,11317,/storage/emulated/0/FDDB-folds-01/2002_08_06_big_img_2997.jpg,0.25340925,1
108,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,156600,16335,/storage/emulated/0/FDDB-folds-01/2002_09_02_big_img_15380.jpg,0.357641625,1
109,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,162000,20413,/storage/emulated/0/FDDB-folds-01/2002_08_07_big_img_1153.jpg,0.312022042,1
110,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,183600,15491,/storage/emulated/0/FDDB-folds-01/2002_07_31_big_img_967.jpg,0.462942875,1
111,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,123924,17101,/storage/emulated/0/FDDB-folds-01/2002_07_31_big_img_711.jpg,0.348823958,1
112,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,147600,14082,/storage/emulated/0/FDDB-folds-01/2002_08_26_big_img_664.jpg,0.260653958,1
113,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,148420,19663,/storage/emulated/0/FDDB-folds-01/2003_01_01_big_img_326.jpg,0.376835833,1
114,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,155250,22776,/storage/emulated/0/FDDB-folds-01/2002_08_24_big_img_775.jpg,0.303980333,1
115,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,147150,12050,/storage/emulated/0/FDDB-folds-01/2002_08_08_big_img_961.jpg,0.32828325,1
116,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,130500,16894,/storage/emulated/0/FDDB-folds-01/2002_08_16_big_img_77.jpg,0.3196805,1
117,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,3,149400,15118,/storage/emulated/0/FDDB-folds-01/2002_08_12_big_img_296.jpg,0.485550002,0.666666667
118,GMS Face API with allLandmarks  allClassifications accurateMode,4,4,jpg,4,139950,23539,/storage/emulated/0/FDDB-folds-01/2002_07_22_big_img_905.jpg,0.522847583,1
119,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,3,179550,17478,/storage/emulated/0/FDDB-folds-01/2003_01_13_big_img_284.jpg,0.38018225,0.333333333
120,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,113850,17906,/storage/emulated/0/FDDB-folds-01/2002_08_13_big_img_887.jpg,0.22275425,1
121,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,3,135900,26355,/storage/emulated/0/FDDB-folds-01/2002_08_24_big_img_849.jpg,0.663118042,1
122,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,127516,14193,/storage/emulated/0/FDDB-folds-01/2002_07_30_big_img_345.jpg,0.308346626,1
123,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,3,144450,23059,/storage/emulated/0/FDDB-folds-01/2002_08_18_big_img_419.jpg,0.675890333,1
124,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,161100,22634,/storage/emulated/0/FDDB-folds-01/2002_08_01_big_img_1347.jpg,0.365865584,1
125,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,168300,20517,/storage/emulated/0/FDDB-folds-01/2002_08_05_big_img_3670.jpg,0.349743333,1
126,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,148500,15872,/storage/emulated/0/FDDB-folds-01/2002_07_21_big_img_479.jpg,0.306780919,1
127,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,3,116100,20378,/storage/emulated/0/FDDB-folds-01/2002_08_08_big_img_913.jpg,0.508105417,1
128,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,138150,22632,/storage/emulated/0/FDDB-folds-01/2002_09_02_big_img_15828.jpg,0.359340834,1
129,GMS Face API with allLandmarks  allClassifications accurateMode,0,0,jpg,1,148950,15102,/storage/emulated/0/FDDB-folds-01/2002_08_30_big_img_18194.jpg,0.314675209,0
130,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,134251,14687,/storage/emulated/0/FDDB-folds-01/2002_08_08_big_img_471.jpg,0.354518834,1
131,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,4,151650,20052,/storage/emulated/0/FDDB-folds-01/2002_08_22_big_img_734.jpg,0.353385833,0.25
132,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,161550,8788,/storage/emulated/0/FDDB-folds-01/2002_08_09_big_img_586.jpg,0.3217025,1
133,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,149850,21613,/storage/emulated/0/FDDB-folds-01/2002_08_09_big_img_454.jpg,0.30457775,1
134,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,133353,25798,/storage/emulated/0/FDDB-folds-01/2002_07_29_big_img_47.jpg,0.21772,1
135,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,166130,23749,/storage/emulated/0/FDDB-folds-01/2002_07_19_big_img_381.jpg,0.393200083,1
136,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,5,160650,31476,/storage/emulated/0/FDDB-folds-01/2002_07_29_big_img_733.jpg,0.523164,0.6
137,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,136496,24815,/storage/emulated/0/FDDB-folds-01/2002_08_20_big_img_327.jpg,0.380383502,1
138,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,134251,16075,/storage/emulated/0/FDDB-folds-01/2002_07_21_big_img_96.jpg,0.315712125,1
139,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,153450,16130,/storage/emulated/0/FDDB-folds-01/2002_08_06_big_img_2680.jpg,0.336036958,1
140,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,140850,10752,/storage/emulated/0/FDDB-folds-01/2002_07_25_big_img_919.jpg,0.347615208,1
141,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,155700,21317,/storage/emulated/0/FDDB-folds-01/2002_07_21_big_img_158.jpg,0.455868541,1
142,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,136800,14694,/storage/emulated/0/FDDB-folds-01/2002_07_22_big_img_801.jpg,0.321389666,1
143,GMS Face API with allLandmarks  allClassifications accurateMode,3,3,jpg,3,172350,17436,/storage/emulated/0/FDDB-folds-01/2002_07_22_big_img_567.jpg,0.689182834,1
144,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,168750,15944,/storage/emulated/0/FDDB-folds-01/2002_07_24_big_img_804.jpg,0.384219875,1
145,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,155250,21027,/storage/emulated/0/FDDB-folds-01/2002_07_24_big_img_690.jpg,0.571700292,1
146,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,126690,16926,/storage/emulated/0/FDDB-folds-01/2003_01_15_big_img_576.jpg,0.294075667,1
147,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,202500,20667,/storage/emulated/0/FDDB-folds-01/2002_08_14_big_img_335.jpg,0.423132502,1
148,GMS Face API with allLandmarks  allClassifications accurateMode,4,4,jpg,6,120130,19630,/storage/emulated/0/FDDB-folds-01/2003_01_13_big_img_390.jpg,0.513601125,0.666666667
149,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,6,201600,30858,/storage/emulated/0/FDDB-folds-01/2002_08_11_big_img_258.jpg,0.411080458,0.166666667
150,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,161550,21005,/storage/emulated/0/FDDB-folds-01/2002_07_23_big_img_917.jpg,0.301069708,1
151,GMS Face API with allLandmarks  allClassifications accurateMode,2,2,jpg,2,163800,26054,/storage/emulated/0/FDDB-folds-01/2002_08_15_big_img_525.jpg,0.451122416,1
152,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,127100,15043,/storage/emulated/0/FDDB-folds-01/2003_01_15_big_img_505.jpg,0.284767833,1
153,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,144000,14309,/storage/emulated/0/FDDB-folds-01/2002_07_30_big_img_886.jpg,0.285981041,1
154,GMS Face API with allLandmarks  allClassifications accurateMode,1,1,jpg,1,110290,14121,/storage/emulated/0/FDDB-folds-01/2003_01_16_big_img_640.jpg,0.316348333,1
